dropped,system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,n_markets
FRA,us_social_security,amortisation at 6%,1.2963711080707248,1.0662907038925382,21.57764325790974,balanced_all_equity,international_equity,1.3984865856068935,15
FRA,us_social_security,amortisation at 8%,1.2521451631424518,1.0299121889899927,21.577856493804305,balanced_all_equity,international_equity,1.3514600109597297,15
FRA,us_social_security,amortisation at 10%,1.1864207788974335,0.9840838317016863,20.56094619966109,balanced_all_equity,international_equity,1.2770807262923092,15
GBR,australia_as_legislated,fixed_real_rule,0.6623782547160592,0.655352560995282,1.0720479538688599,balanced_all_equity,balanced_all_equity,0.6623782547160592,15
GBR,australia_as_legislated,constant_percent at 4%,0.8539730663181001,0.7265339734066518,17.540692875502838,balanced_all_equity,international_equity,0.9400992985223008,15
GBR,australia_as_legislated,amortisation at 0%,0.93670009377302,0.8221391188345383,13.934499929997601,balanced_all_equity,international_equity,1.0192182801162615,15
GBR,australia_as_legislated,amortisation at 2%,1.1218724110820943,0.9585289985296019,17.04105069362154,balanced_all_equity,international_equity,1.2210280020918842,15
GBR,australia_as_legislated,amortisation at 4%,1.258272305654298,1.041025775741666,20.86850633048516,balanced_all_equity,international_equity,1.370621258648937,15
GBR,australia_as_legislated,amortisation at 6%,1.320617977829964,1.063000832918144,24.234895865943116,balanced_all_equity,international_equity,1.4427360646294245,15
GBR,australia_as_legislated,amortisation at 8%,1.3063562994812656,1.0373628756439184,25.930504180649038,balanced_all_equity,international_equity,1.4325516080460017,15
GBR,australia_as_legislated,amortisation at 10%,1.2360872059074148,0.9836526653942822,25.662975295446188,balanced_all_equity,international_equity,1.3568721253565668,15
GBR,us_social_security,fixed_real_rule,1.041969538826208,0.9411133918707668,10.716683858356003,balanced_all_equity,international_equity,1.102676650581912,15
GBR,us_social_security,constant_percent at 4%,1.1217776371798294,0.9551841567873944,17.440980276802833,balanced_all_equity,international_equity,1.21120159156378,15
GBR,us_social_security,amortisation at 0%,1.1831428202732377,1.0199578491849717,15.999187732969933,balanced_all_equity,international_equity,1.266865738529651,15
GBR,us_social_security,amortisation at 2%,1.228163257620705,1.043037143530549,17.74875566401477,balanced_all_equity,international_equity,1.322760821426824,15
GBR,us_social_security,amortisation at 4%,1.2457603144007725,1.04622446750948,19.07199201393981,balanced_all_equity,international_equity,1.3478009399612216,15
GBR,us_social_security,amortisation at 6%,1.232733915504173,1.0299767096676533,19.685610745697744,balanced_all_equity,international_equity,1.3366937719033556,15
GBR,us_social_security,amortisation at 8%,1.1926965985830185,0.9986402153286672,19.43206174512855,balanced_all_equity,international_equity,1.2919826656907718,15
GBR,us_social_security,amortisation at 10%,1.134525106640037,0.9586217024855186,18.34961629790306,balanced_all_equity,international_equity,1.2235232489972718,15
ITA,australia_as_legislated,fixed_real_rule,0.716351456789203,0.6743891890430082,6.222262816185031,balanced_all_equity,international_equity,0.7577974561419524,15
ITA,australia_as_legislated,constant_percent at 4%,0.8788005285031767,0.7362109681518763,19.368029888123715,balanced_all_equity,international_equity,0.9900810302163038,15
ITA,australia_as_legislated,amortisation at 0%,0.9626258962518712,0.8373177400934567,14.965424731647081,balanced_all_equity,international_equity,1.0664508953913405,15
ITA,australia_as_legislated,amortisation at 2%,1.1548481236297374,0.9796192942335811,17.887441624273958,balanced_all_equity,international_equity,1.2827802218005273,15
ITA,australia_as_legislated,amortisation at 4%,1.297555200451165,1.0675564944724012,21.54440604967065,balanced_all_equity,international_equity,1.445782340939921,15
ITA,australia_as_legislated,amortisation at 6%,1.3639382131355797,1.091840494620237,24.92101363303838,balanced_all_equity,international_equity,1.5270079059156665,15
ITA,australia_as_legislated,amortisation at 8%,1.3497052156450797,1.0643722645132196,26.807627429333138,balanced_all_equity,international_equity,1.5179653912146978,15
ITA,australia_as_legislated,amortisation at 10%,1.2751006284469075,1.005981882863606,26.751848136393264,balanced_all_equity,international_equity,1.4336489671991755,15
ITA,us_social_security,fixed_real_rule,1.067099675427487,0.9567183403033649,11.537495464874393,balanced_all_equity,international_equity,1.145324351989869,15
ITA,us_social_security,constant_percent at 4%,1.1472069573462225,0.9690199860610145,18.388369058260935,balanced_all_equity,international_equity,1.258334647659008,15
ITA,us_social_security,amortisation at 0%,1.2086713059118042,1.0371041176079965,16.542908796805733,balanced_all_equity,international_equity,1.3118757789411164,15
ITA,us_social_security,amortisation at 2%,1.257883029963505,1.0620640212957855,18.43758989489239,balanced_all_equity,international_equity,1.376830871571644,15
ITA,us_social_security,amortisation at 4%,1.277821372873596,1.0654196579384356,19.935967330108518,balanced_all_equity,international_equity,1.4076302896154733,15
