scale,equity,arm,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.03,0.65,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.26124040009331917,0.4186441253006616,0.07544,0.5026388735180043,0.2677589553394167,1.3764607291220528
0.03,0.7,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.24085190255848268,0.3898505755696367,0.06788,0.49865328703224676,0.24714163006990716,1.3764607291220528
0.03,0.75,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.22211034406019856,0.3622081131752196,0.06296,0.49452039949697973,0.22879585287356205,1.3764607291220528
0.03,0.8,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.2046496947540899,0.33560504978830086,0.0594,0.4902649414793908,0.21040585337117637,1.3764607291220528
0.03,0.85,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.18772047824037824,0.3091687352555135,0.05696,0.4859516383865916,0.19420358170134022,1.3764607291220528
0.03,0.9,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.17379820731719095,0.2870427430111469,0.0562,0.4816177133461902,0.1810967938654705,1.3764607291220528
0.03,0.95,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.16249965771978075,0.26887854256212784,0.0548,0.4772980749815654,0.1677050148658721,1.3764607291220528
0.03,1.0,pension from the day work stops,1.4490876071939407,3.014330021789434,6.767475613460695,0.83488,0.14296,0.02216,0.15193894504514924,0.2517618293515151,0.05508,0.4730165906709883,0.15608741463242035,1.3764607291220528
0.05,0.0,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.4923427417179464,0.6188859732324298,0.33024,0.5677016142166083,0.44696535850574537,1.3764607291220528
0.05,0.05,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.48554008894354017,0.6160404773492123,0.29376,0.5659826006656933,0.4363251656841046,1.3764607291220528
0.05,0.1,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.47648768746704656,0.6120433333711401,0.259,0.5637929215782863,0.4226701187074929,1.3764607291220528
0.05,0.15,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.4649064049121092,0.6065591862890288,0.22604,0.561103264250733,0.4072581846715659,1.3764607291220528
0.05,0.2,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.4526572203182982,0.6002770006629297,0.19856,0.5579047768991414,0.3894045829501198,1.3764607291220528
0.05,0.25,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.43690585780606683,0.591417000129213,0.17544,0.5542562521512495,0.3707646017660091,1.3764607291220528
0.05,0.3,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.41718407302185884,0.5789825502876219,0.15408,0.5501889450993103,0.3510370583071266,1.3764607291220528
0.05,0.35,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.3973055372553465,0.5648155228152139,0.1368,0.5457490117907746,0.3301809476726749,1.3764607291220528
