scale,leverage,spread,cec,wipeout
0.17,1.4,0.0,0.6495444651034341,0.0
0.17,1.5,0.0,0.6515664637602762,0.0
0.17,1.6,0.0,0.652644774002594,0.0
0.17,1.75,0.0,0.6518849462045128,0.0
0.17,2.0,0.0,0.6453739771480479,0.0002023529411764706
0.17,1.0,0.01,0.6334348456699518,0.0
0.17,1.1,0.01,0.6371849064423161,0.0
0.17,1.2,0.01,0.6402301789683231,0.0
0.17,1.3,0.01,0.6425423605440284,0.0
0.17,1.4,0.01,0.6440884025753503,0.0
0.17,1.5,0.01,0.6448189413483403,0.0
0.17,1.6,0.01,0.644644343255302,0.0
0.17,1.75,0.01,0.642037262417164,0.0
0.17,2.0,0.01,0.6330448622626029,0.0002023529411764706
0.17,1.0,0.02,0.6334348456699518,0.0
0.17,1.1,0.02,0.6357955975440076,0.0
0.17,1.2,0.02,0.637470336903515,0.0
0.17,1.3,0.02,0.6384398130516286,0.0
0.17,1.4,0.02,0.6386781065319854,0.0
0.17,1.5,0.02,0.638142059053066,0.0
0.17,1.6,0.02,0.6367478730544895,0.0
0.17,1.75,0.02,0.6323544109771364,0.0002023529411764706
0.17,2.0,0.02,0.6210542685182753,0.0002023529411764706
0.17,1.0,0.03,0.6334348456699518,0.0
0.17,1.1,0.03,0.6344100007034925,0.0
0.17,1.2,0.03,0.634724590107667,0.0
0.17,1.3,0.03,0.6343680756883899,0.0
0.17,1.4,0.03,0.6333222958263898,0.0
0.17,1.5,0.03,0.6315518264220551,0.0
0.17,1.6,0.03,0.6289811909602954,0.0
0.17,1.75,0.03,0.6231410042810676,0.0002023529411764706
0.17,2.0,0.03,0.6095819913305902,0.0004076470588235294
0.17,1.0,0.05,0.6334348456699518,0.0
0.17,1.1,0.05,0.6316505651628412,0.0
0.17,1.2,0.05,0.6292801063986854,0.0
0.17,1.3,0.05,0.6263320378385262,0.0
0.17,1.4,0.05,0.622807323564687,0.0
0.17,1.5,0.05,0.6186912192563397,0.0
0.17,1.6,0.05,0.6139317636642463,0.0
0.17,1.75,0.05,0.6054615456969406,0.0002023529411764706
0.17,2.0,0.05,0.5884623156341818,0.0006035294117647059
0.2,1.0,0.0,0.6569023296536197,0.0
0.2,1.1,0.0,0.6623716252951,0.0
0.2,1.2,0.0,0.6670031564980249,0.0
0.2,1.3,0.0,0.670760491075567,0.0
0.2,1.4,0.0,0.673602967520057,0.0
0.2,1.5,0.0,0.6754705731851077,0.0
0.2,1.6,0.0,0.6762537344820714,0.0
0.2,1.75,0.0,0.6746280475660466,0.0
0.2,2.0,0.0,0.6658890167318384,0.0002023529411764706
0.2,1.0,0.01,0.6569023296536197,0.0
0.2,1.1,0.01,0.6608256876190927,0.0
0.2,1.2,0.01,0.6639306620282266,0.0
0.2,1.3,0.01,0.666190529745918,0.0
0.2,1.4,0.01,0.6675710274692822,0.0
0.2,1.5,0.01,0.6680163778055115,0.0
0.2,1.6,0.01,0.6674193492637392,0.0
0.2,1.75,0.01,0.6637367168691749,0.0
0.2,2.0,0.01,0.6522946521187601,0.0002023529411764706
0.2,1.0,0.02,0.6569023296536197,0.0
0.2,1.1,0.02,0.6592829830846316,0.0
0.2,1.2,0.02,0.6608697873218615,0.0
0.2,1.3,0.02,0.6616448416268761,0.0
0.2,1.4,0.02,0.6615807325569819,0.0
0.2,1.5,0.02,0.6606276378385254,0.0
0.2,1.6,0.02,0.6586837458334543,0.0
0.2,1.75,0.02,0.6529976965968163,0.0002023529411764706
0.2,2.0,0.02,0.6390403216635003,0.0002023529411764706
0.2,1.0,0.03,0.6569023296536197,0.0
0.2,1.1,0.03,0.6577436946420284,0.0
0.2,1.2,0.03,0.6578219328434084,0.0
0.2,1.3,0.03,0.6571279190277004,0.0
0.2,1.4,0.03,0.6556421467463008,0.0
0.2,1.5,0.03,0.6533228270941959,0.0
0.2,1.6,0.03,0.6500767354000028,0.0
0.2,1.75,0.03,0.6428223947984143,0.0002023529411764706
0.2,2.0,0.03,0.6263479877164149,0.0004076470588235294
0.2,1.0,0.05,0.6569023296536197,0.0
0.2,1.1,0.05,0.6546760909260012,0.0
0.2,1.2,0.05,0.651770783000014,0.0
0.2,1.3,0.05,0.6481978282109283,0.0
0.2,1.4,0.05,0.6439587229343265,0.0
0.2,1.5,0.05,0.6390347380881346,0.0
0.2,1.6,0.05,0.6333586813667965,0.0
0.2,1.75,0.05,0.6232424937363127,0.0002023529411764706
0.2,2.0,0.05,0.6029890022221561,0.0006035294117647059
0.25,1.0,0.0,0.6937454216789068,0.0
0.25,1.1,0.0,0.6996764323672768,0.0
0.25,1.2,0.0,0.7045769908890014,0.0
0.25,1.3,0.0,0.7084140941221866,0.0
0.25,1.4,0.0,0.7111456684447099,0.0
0.25,1.5,0.0,0.7127012789031006,0.0
0.25,1.6,0.0,0.7129415208659852,0.0
0.25,1.75,0.0,0.7097692633071429,0.0
0.25,2.0,0.0,0.6971619268280822,0.0002023529411764706
0.25,1.0,0.01,0.6937454216789068,0.0
0.25,1.1,0.01,0.697890339218868,0.0
0.25,1.2,0.01,0.7010339482200968,0.0
0.25,1.3,0.01,0.7031521431155903,0.0
0.25,1.4,0.01,0.704208190033337,0.0
0.25,1.5,0.01,0.7041346703495827,0.0
0.25,1.6,0.01,0.7027926382561618,0.0
0.25,1.75,0.01,0.6972162366016534,0.0
0.25,2.0,0.01,0.6815761455205444,0.0002023529411764706
0.25,1.0,0.02,0.6937454216789068,0.0
0.25,1.1,0.02,0.6961068960259478,0.0
0.25,1.2,0.02,0.6975002739505242,0.0
0.25,1.3,0.02,0.6979098243221353,0.0
0.25,1.4,0.02,0.6973052276102212,0.0
0.25,1.5,0.02,0.6956246576345494,0.0
0.25,1.6,0.02,0.6927338292608419,0.0
0.25,1.75,0.02,0.6847854641506482,0.0002023529411764706
0.25,2.0,0.02,0.6663261237227394,0.0002023529411764706
0.25,1.0,0.03,0.6937454216789068,0.0
0.25,1.1,0.03,0.6943263263301366,0.0
0.25,1.2,0.03,0.6939776736848898,0.0
0.25,1.3,0.03,0.6926925991898616,0.0
0.25,1.4,0.03,0.6904490084636937,0.0
0.25,1.5,0.03,0.6871936936867246,0.0
0.25,1.6,0.03,0.682801358844866,0.0
0.25,1.75,0.03,0.6731094991259304,0.0002023529411764706
0.25,2.0,0.03,0.6517093188746916,0.0004076470588235294
0.25,1.0,0.05,0.6937454216789068,0.0
0.25,1.1,0.05,0.6907746962547966,0.0
0.25,1.2,0.05,0.6869724341456945,0.0
0.25,1.3,0.05,0.6823548358244913,0.0
0.25,1.4,0.05,0.6769241990276458,0.0
0.25,1.5,0.05,0.6706546157426634,0.0
0.25,1.6,0.05,0.6634509738302046,0.0
0.25,1.75,0.05,0.6505612977160673,0.0002023529411764706
0.25,2.0,0.05,0.6248475096442517,0.0006035294117647059
0.35,1.0,0.0,0.7612004436166013,0.0
0.35,1.1,0.0,0.7678553283412662,0.0
0.35,1.2,0.0,0.7731124759476456,0.0
0.35,1.3,0.0,0.7769453285900855,0.0
0.35,1.4,0.0,0.7793073806689752,0.0
0.35,1.5,0.0,0.7801043630176423,0.0
0.35,1.6,0.0,0.7791300939426555,0.0
0.35,1.75,0.0,0.7725637496934405,0.0
0.35,2.0,0.0,0.7517700505288841,0.0002023529411764706
0.35,1.0,0.01,0.7612004436166013,0.0
0.35,1.1,0.01,0.7656262227644329,0.0
0.35,1.2,0.01,0.7687004899855163,0.0
0.35,1.3,0.01,0.7704038267361228,0.0
0.35,1.4,0.01,0.7706930712089195,0.0
0.35,1.5,0.01,0.769474742615869,0.0
0.35,1.6,0.01,0.766539167969279,0.0
0.35,1.75,0.01,0.7568659634987054,0.0
0.35,2.0,0.01,0.7325172528430133,0.0002023529411764706
0.35,1.0,0.02,0.7612004436166013,0.0
0.35,1.1,0.02,0.7633985162277827,0.0
0.35,1.2,0.02,0.7642931419570602,0.0
0.35,1.3,0.02,0.7638723807469433,0.0
0.35,1.4,0.02,0.7620988437836137,0.0
0.35,1.5,0.02,0.7588842086877156,0.0
0.35,1.6,0.02,0.7540218267165528,0.0
0.35,1.75,0.02,0.7411896379994567,0.0002023529411764706
0.35,2.0,0.02,0.7135682961231468,0.0002023529411764706
0.35,1.0,0.03,0.7612004436166013,0.0
0.35,1.1,0.03,0.761172508731426,0.0
0.35,1.2,0.03,0.7598927158691197,0.0
0.35,1.3,0.03,0.7573583010202047,0.0
0.35,1.4,0.03,0.7535410789814906,0.0
0.35,1.5,0.03,0.748362901424952,0.0
0.35,1.6,0.03,0.7416268750020046,0.0
0.35,1.75,0.03,0.7267895802814689,0.0002023529411764706
0.35,2.0,0.03,0.6953875060109277,0.0004076470588235294
0.35,1.0,0.05,0.7612004436166013,0.0
0.35,1.1,0.05,0.7567267895950842,0.0
0.35,1.2,0.05,0.7511217348680758,0.0
0.35,1.3,0.05,0.7444112365512701,0.0
0.35,1.4,0.05,0.7365993159715025,0.0
0.35,1.5,0.05,0.7276446740121851,0.0
